month,day,black-four,green-four,black,green,yellow,blue
01,1,,,,,,
01,2,k,,ku,e,k,u
01,3,l,f,al,f,a,a
01,4,b,,bm,g,b,b
01,5,n,h,cn,h,c,c
01,6,d,,do,i,d,d
01,7,,,,,,
01,8,p,k,ep,k,e,e
01,9,q,a,fq,a,f,f
01,10,g,,gr,b,g,g
01,11,s,c,hs,c,h,h
01,12,i,,it,d,i,i
01,13,u,e,ku,e,k,k
01,14,,,,,,
01,15,a,,al,f,a,l
01,16,m,g,bm,g,b,m
01,17,c,,cn,h,c,n
01,18,o,i,do,i,d,o
01,19,e,,ep,k,e,p
01,20,,,,,,
01,21,,,,,,
01,22,f,,fq,a,f,q
01,23,r,b,gr,b,g,r
01,24,h,,hs,c,h,s
01,25,t,d,it,d,i,t
01,26,k,,ku,e,k,u
01,27,,,,,,
01,28,,,,,,
01,29,l,f,al,f,a,a
01,30,b,,bm,g,b,b
01,31,n,h,cn,h,c,c
02,1,d,,do,i,d,d
02,2,p,k,ep,k,e,e
02,3,,,,,,
02,4,,,,,,
02,5,q,a,fq,a,f,f
02,6,g,,gr,b,g,g
02,7,s,c,hs,c,h,h
02,8,i,,it,d,i,i
02,9,u,e,ku,e,k,k
02,10,,,,,,
02,11,,,,,,
02,12,a,,al,f,a,l
02,13,m,g,bm,g,b,m
02,14,c,,cn,h,c,n
02,15,o,i,do,i,d,o
02,16,e,,ep,k,e,p
02,17,,,,,,
02,18,,,,,,
02,19,f,,fq,a,f,q
02,20,r,b,gr,b,g,r
02,21,h,,hs,c,h,s
02,22,t,d,it,d,i,t
02,23,k,,ku,e,k,u
02,24,,,,,,
02,25,,,,,,
02,26,l,f,al,f,a,a
02,27,b,,bm,g,b,b
02,28,n,h,cn,h,c,c
03,1,d,,do,i,d,d
03,2,p,k,ep,k,e,e
03,3,,,,,,
03,4,,,,,,
03,5,q,a,fq,a,f,f
03,6,g,,gr,b,g,g
03,7,s,c,hs,c,h,h
03,8,i,,it,d,i,i
03,9,u,e,ku,e,k,k
03,10,,,,,,
03,11,,,,,,
03,12,a,,al,f,a,l
03,13,m,g,bm,g,b,m
03,14,c,,cn,h,c,n
03,15,o,i,do,i,d,o
03,16,e,,ep,k,e,p
03,17,,,,,,
03,18,,,,,,
03,19,f,,fq,a,f,q
03,20,r,b,gr,b,g,r
03,21,h,,hs,c,h,s
03,22,t,d,it,d,i,t
03,23,k,,ku,e,k,u
03,24,,,,,,
03,25,,,,,,
03,26,l,f,al,f,a,a
03,27,b,,bm,g,b,b
03,28,n,h,cn,h,c,c
03,29,d,,do,i,d,d
03,30,,,,,,
03,31,p,k,ep,k,e,e
04,1,,,,,,
04,2,,,,,,
04,3,q,a,fq,a,f,f
04,4,g,,gr,b,g,g
04,5,s,c,hs,c,h,h
04,6,i,,it,d,i,i
04,7,u,e,ku,e,k,k
04,8,,,,,,
04,9,a,,al,f,a,l
04,10,m,g,bm,g,b,m
04,11,c,,cn,h,c,n
04,12,o,i,do,i,d,o
04,13,e,,ep,k,e,p
04,14,,,,,,
04,15,,,,,,
04,16,f,,fq,a,f,q
04,17,r,b,gr,b,g,r
04,18,h,,hs,c,h,s
04,19,t,d,it,d,i,t
04,20,k,,ku,e,k,u
04,21,,,,,,
04,22,,,,,,
04,23,l,f,al,f,a,a
04,24,b,,bm,g,b,b
04,25,n,h,cn,h,c,c
04,26,d,,do,i,d,d
04,27,p,k,ep,k,e,e
04,28,,,,,,
04,29,,,,,,
04,30,q,a,fq,a,f,f
05,1,,,,,,
05,2,g,,gr,b,g,g
05,3,s,c,hs,c,h,h
05,4,i,,it,d,i,i
05,5,u,e,ku,e,l,k
05,6,,,,,,
05,7,a,,al,f,a,l
05,8,m,g,bm,g,b,m
05,9,c,,cn,h,c,n
05,10,,,,,,
05,11,o,i,do,i,d,o
05,12,e,,ep,k,e,p
05,13,,,,,,
05,14,f,,fq,a,f,q
05,15,r,b,gr,b,g,r
05,16,h,,hs,c,h,s
05,17,t,d,it,d,i,t
05,18,k,,ku,e,k,u
05,19,,,,,,
05,20,,,,,,
05,21,,,,,,
05,22,l,f,al,f,a,a
05,23,b,,bm,g,b,b
05,24,n,h,cn,h,c,c
05,25,d,,do,i,d,d
05,26,p,k,ep,k,e,e
05,27,,,,,,
05,28,q,a,fq,a,f,f
05,29,g,,gr,b,g,g
05,30,s,c,hs,c,h,h
05,31,i,,it,d,i,i
06,1,u,e,ku,e,k,k
06,2,,,,,,
06,3,,,,,,
06,4,a,,al,f,a,l
06,5,m,g,bm,g,b,m
06,6,c,,cn,h,c,n
06,7,o,i,do,i,d,o
06,8,e,,ep,k,e,p
06,9,,,,,,
06,10,,,,,,
06,11,f,,fq,a,f,q
06,12,r,b,gr,b,g,r
06,13,h,,hs,c,h,s
06,14,t,d,it,d,i,t
06,15,k,,ku,e,k,u
06,16,,,,,,
06,17,,,,,,
06,18,l,f,al,f,a,a
06,19,b,,bm,g,b,b
06,20,n,h,cn,h,c,c
06,21,d,,do,i,d,d
06,22,p,k,ep,k,e,e
06,23,,,,,,
06,24,,,,,,
06,25,q,a,fq,a,f,f
06,26,g,,gr,b,g,g
06,27,s,c,hs,c,h,h
06,28,i,,it,d,i,i
06,29,u,e,ku,e,k,k
06,30,,,,,,
07,1,,,,,,
07,2,a,,al,f,a,l
07,3,m,g,bm,g,b,m
07,4,c,,cn,h,c,n
07,5,o,i,do,i,d,o
07,6,e,,ep,k,e,p
07,7,,,,,,
07,8,,,,,,
07,9,f,,fq,a,f,q
07,10,r,b,gr,b,g,r
07,11,h,,hs,c,h,s
07,12,t,d,it,d,i,t
07,13,k,,ku,e,k,u
07,14,,,,,,
07,15,,,,,,
07,16,l,f,al,f,a,a
07,17,b,,bm,g,b,b
07,18,n,h,cn,h,c,c
07,19,d,,do,i,d,d
07,20,p,k,ep,k,e,e
07,21,,,,,,
07,22,,,,,,
07,23,q,a,fq,a,f,f
07,24,g,,gr,b,g,g
07,25,s,c,hs,c,h,h
07,26,i,,it,d,i,i
07,27,u,e,ku,e,k,k
07,28,,,,,,
07,29,,,,,,
07,30,a,,al,f,a,l
07,31,m,g,bm,g,b,m
08,1,c,,cn,h,c,n
08,2,o,i,do,i,d,o
08,3,e,,ep,k,e,p
08,4,,,,,,
08,5,,,,,,
08,6,f,,fq,a,f,q
08,7,r,b,gr,b,g,r
08,8,h,,hs,c,h,s
08,9,t,d,it,d,i,t
08,10,k,,ku,e,k,u
08,11,,,,,,
08,12,,,,,,
08,13,l,f,al,f,a,a
08,14,b,,bm,g,b,b
08,15,n,h,cn,h,c,c
08,16,d,,do,i,d,d
08,17,p,k,ep,k,e,e
08,18,,,,,,
08,19,,,,,,
08,20,q,a,fq,a,f,f
08,21,g,,gr,b,g,g
08,22,s,c,hs,c,h,h
08,23,i,,it,d,i,i
08,24,u,e,ku,e,k,k
08,25,,,,,,
08,26,,,,,,
08,27,a,,al,f,a,l
08,28,m,g,bm,g,b,m
08,29,c,,cn,h,c,n
08,30,o,i,do,i,d,o
08,31,e,,ep,k,e,p
09,1,,,,,,
09,2,,,,,,
09,3,f,,fq,a,f,q
09,4,r,b,gr,b,g,r
09,5,h,,hs,c,h,s
09,6,t,d,it,d,i,t
09,7,k,,ku,e,k,u
09,8,,,,,,
09,9,,,,,,
09,10,l,f,al,f,a,a
09,11,b,,bm,g,b,b
09,12,n,h,cn,h,c,c
09,13,d,,do,i,d,d
09,14,p,k,ep,k,e,e
09,15,,,,,,
09,16,,,,,,
09,17,q,a,fq,a,f,f
09,18,g,,gr,b,g,g
09,19,s,c,hs,c,h,h
09,20,i,,it,d,i,i
09,21,u,e,ku,e,k,k
09,22,,,,,,
09,23,,,,,,
09,24,a,,al,f,a,l
09,25,m,g,bm,g,b,m
09,26,c,,cn,h,c,n
09,27,o,i,do,i,d,o
09,28,e,,ep,k,e,p
09,29,,,,,,
09,30,,,,,,
10,1,f,,fq,a,f,q
10,2,r,b,gr,b,g,r
10,3,,,,,,
10,4,h,,hs,c,h,s
10,5,t,d,it,d,i,t
10,6,k,,ku,e,k,u
10,7,,,,,,
10,8,l,f,al,f,a,a
10,9,b,,bm,g,b,b
10,10,n,h,cn,h,c,c
10,11,d,,do,i,d,d
10,12,p,k,ep,k,e,e
10,13,,,,,,
10,14,,,,,,
10,15,q,a,fq,a,f,f
10,16,g,,gr,b,g,g
10,17,s,c,hs,c,h,h
10,18,i,,it,d,i,i
10,19,u,e,ku,e,k,k
10,20,,,,,,
10,21,,,,,,
10,22,a,,al,f,a,l
10,23,m,g,bm,g,b,m
10,24,c,,cn,h,c,n
10,25,o,i,do,i,d,o
10,26,e,,ep,k,e,p
10,27,,,,,,
10,28,,,,,,
10,29,f,,fq,a,f,q
10,30,r,b,gr,b,g,r
10,31,h,,hs,c,h,s
11,1,t,d,it,d,i,t
11,2,k,,ku,e,k,u
11,3,,,,,,
11,4,,,,,,
11,5,l,f,al,f,a,a
11,6,b,,bm,g,b,b
11,7,n,h,cn,h,c,c
11,8,d,,do,i,d,d
11,9,p,k,ep,k,e,e
11,10,,,,,,
11,11,,,,,,
11,12,q,a,fq,a,f,f
11,13,g,,gr,b,g,g
11,14,s,c,hs,c,h,h
11,15,i,,it,d,i,i
11,16,u,e,ku,e,k,k
11,17,,,,,,
11,18,,,,,,
11,19,a,,al,f,a,l
11,20,m,g,bm,g,b,m
11,21,c,,cn,h,c,n
11,22,o,i,do,i,d,o
11,23,e,,ep,k,e,p
11,24,,,,,,
11,25,,,,,,
11,26,f,,fq,a,f,q
11,27,r,b,gr,b,g,r
