month,day,black-four,green-four,black,green,yellow,blue,black-weekly,black-twice,green-weekly,green-twice
01,1,,,,,,,,,,
01,2,b,g,bm,gr,b,b,w,wyz,w,vx
01,3,n,s,cn,hs,c,c,x,,x,
01,4,d,i,do,it,d,d,y,y,y,
01,5,,,,,,,,,,
01,6,p,u,ep,ku,e,e,z,wyz,,vx
01,7,q,a,fq,al,f,f,v,,v,
01,8,g,m,gr,bm,g,g,w,wyz,w,vx
01,9,s,c,hs,cn,h,h,x,,x,
01,10,i,o,it,do,i,i,y,y,y,
01,11,u,e,ku,ep,k,k,z,wyz,,vx
01,12,,,,,,,,,,
01,13,a,f,al,fq,a,l,v,,v,
01,14,m,r,bm,gr,b,m,w,wyz,w,vx
01,15,c,h,cn,hs,c,n,x,,x,
01,16,o,t,do,it,d,o,y,y,y,
01,17,e,k,ep,ku,e,p,z,wyz,,vx
01,18,,,,,,,,,,
01,19,,,,,,,,,,
01,20,f,l,fq,al,f,q,v,,v,
01,21,r,b,gr,bm,g,r,w,wyz,w,vx
01,22,h,n,hs,cn,h,s,x,,x,
01,23,t,d,it,do,i,t,y,y,y,
01,24,k,p,ku,ep,k,u,z,wyz,,vx
01,25,,,,,,,,,,
01,26,,,,,,,,,,
01,27,l,q,al,fq,a,a,v,,v,
01,28,b,g,bm,gr,b,b,w,wyz,w,vx
01,29,n,s,cn,hs,c,c,x,,x,
01,30,d,i,do,it,d,d,y,y,y,
01,31,p,u,ep,ku,e,e,z,wyz,,vx
02,1,,,,,,,,,,
02,2,,,,,,,,,,
02,3,q,a,fq,al,f,f,v,,v,
02,4,g,m,gr,bm,g,g,w,wyz,w,vx
02,5,s,c,hs,cn,h,h,x,,x,
02,6,i,o,it,do,i,i,y,y,y,
02,7,u,e,ku,ep,k,k,z,wyz,,vx
02,8,,,,,,,,,,
02,9,,,,,,,,,,
02,10,a,f,al,fq,a,l,v,,v,
02,11,m,r,bm,gr,b,m,w,wyz,w,vx
02,12,c,h,cn,hs,c,n,x,,x,
02,13,o,t,do,it,d,o,y,y,y,
02,14,e,k,ep,ku,e,p,z,wyz,,vx
02,15,,,,,,,,,,
02,16,,,,,,,,,,
02,17,f,l,fq,al,f,q,v,,v,
02,18,r,b,gr,bm,g,r,w,wyz,w,vx
02,19,h,n,hs,cn,h,s,x,,x,
02,20,t,d,it,do,i,t,y,y,y,
02,21,k,p,ku,ep,k,u,z,wyz,,vx
02,22,,,,,,,,,,
02,23,,,,,,,,,,
02,24,l,q,al,fq,a,a,v,,v,
02,25,b,g,bm,gr,b,b,w,wyz,w,vx
02,26,n,s,cn,hs,c,c,x,,x,
02,27,d,i,do,it,d,d,y,y,y,
02,28,p,u,ep,ku,e,e,z,wyz,,vx
